Key,Translation,Category
common.try_changing_the_search_or_filter,ลองเปลี่ยนการค้นหาหรือตัวกรอง,common
common.unable_to_load_restaurant_list,ไม่สามารถโหลดรายการร้านอาหารได้,common
common.unable_to_load_categories,ไม่สามารถโหลดหมวดหมู่ได้,common
common.explore_food_in_this_category,สำรวจอาหารในหมวดหมู่นี้,common
common.back_to_categories,กลับไปยังหมวดหมู่,common
common.error_adding_to_cart,เกิดข้อผิดพลาดในการเพิ่มสินค้าลงตะกร้า,common
common.added_to_cart,เพิ่ม "{product}" ลงในตะกร้าแล้ว!,common
common.loading_restaurant_data,กำลังโหลดข้อมูลร้านอาหาร...,common
common.back_to_restaurant_list,กลับไปยังรายการร้านอาหาร,common
common.failed_to_load_data,ไม่สามารถโหลดข้อมูลได้,common
common.failed_to_load_products,ไม่สามารถโหลดสินค้าได้,common
common.no_description,ไม่มีคำอธิบาย,common
common.restaurant,ร้านอาหาร,common
common.error_searching,เกิดข้อผิดพลาดในการค้นหา,common
common.all,ทั้งหมด,common
common.try_again,ลองใหม่อีกครั้ง,common
common.refresh,รีเฟรช,common 
common.reviews,รีวิว,common
common.load_more,ดูเพิ่มเติม,common
common.people,คน,common
common.close,ปิด,common
common.no_data,ไม่พบข้อมูล,common
common.items,รายการ,common
common.amount,จำนวนเงิน,common
common.free,ฟรี,common
common.new,ใหม่,common
,,
# Search,,
search.search_for_restaurant_or_menu,ค้นหาร้านอาหารหรือเมนู,search
search.enter_search_term,ป้อนคำค้นหา...,search
search.search,ค้นหา,search
search.search_type,ประเภทการค้นหา,search
search.menu,เมนู,search
search.searching,กำลังค้นหา...,search
search.search_results,ผลการค้นหา "{query}" ({count} ผลลัพธ์),search
search.restaurants_results,ร้านอาหาร ({count} ร้าน),search
search.view_menu,ดูเมนู →,search
search.menu_results,เมนู ({count} รายการ),search
search.no_search_results,ไม่พบผลการค้นหา,search
search.try_different_search_or_change_type,ลองค้นหาด้วยคำอื่นหรือเปลี่ยนประเภทการค้นหา,search
search.enter_search_above_to_start,ป้อนคำค้นหาด้านบนเพื่อเริ่มต้น,search
,,
# Navigation,,
nav.restaurants,ร้านอาหาร,navigation
nav.categories,หมวดหมู่,navigation
nav.all_products,สินค้าทั้งหมด,navigation
nav.orders,คำสั่งซื้อ,navigation
nav.favorites,รายการโปรด,navigation 
,,
# Authentication,,
auth.email,อีเมล,auth
auth.password,รหัสผ่าน,auth
auth.confirm_password,ยืนยันรหัสผ่าน,auth
auth.forgot_password,ลืมรหัสผ่าน?,auth
auth.reset_password,รีเซ็ตรหัสผ่าน,auth
auth.change_password,เปลี่ยนรหัสผ่าน,auth
auth.login_success,เข้าสู่ระบบสำเร็จ,auth
auth.register_success,ลงทะเบียนสำเร็จ,auth
auth.logout_success,ออกจากระบบสำเร็จ,auth
auth.verify_email,ยืนยันอีเมล,auth
auth.email_verification,การยืนยันอีเมล,auth
auth.email_verified,ยืนยันอีเมลสำเร็จ,auth
auth.google_login,เข้าสู่ระบบด้วย Google,auth
auth.verification_sent,ส่งอีเมลยืนยันแล้ว,auth
auth.verification_required,ต้องยืนยันอีเมล,auth
auth.username,ชื่อผู้ใช้,auth
auth.remember_me,จดจำการเข้าสู่ระบบ,auth
auth.or,หรือ,auth
auth.register_now,ลงทะเบียนเลย,auth
auth.login_now,เข้าสู่ระบบเลย,auth
auth.verify_email_title,ยืนยันอีเมลของคุณ,auth
auth.verify_email_message,เราได้ส่งรหัสยืนยันไปที่ {email} กรุณาตรวจสอบอีเมลและป้อนรหัสยืนยันด้านล่าง,auth
auth.verification_code,รหัสยืนยัน,auth
auth.verification_code_placeholder,ป้อนรหัสยืนยันจากอีเมล,auth
auth.verification_code_format,รหัสยืนยันจะมีรูปแบบดังนี้: XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX,auth
auth.verifying,กำลังยืนยันอีเมล...,auth
auth.verify_success,ยืนยันอีเมลสำเร็จ! คุณสามารถเข้าสู่ระบบได้แล้ว,auth
auth.resend_code,ส่งรหัสยืนยันอีกครั้ง,auth
auth.resend_success,ส่งอีเมลยืนยันไปที่ {email} อีกครั้งแล้ว,auth
auth.resend_countdown,คุณสามารถส่งอีกครั้งได้ใน {seconds} วินาที,auth
auth.agree_terms,ฉันยอมรับข้อกำหนดและเงื่อนไข,auth
auth.required_field,ฟิลด์ที่จำเป็น,auth
auth.phone,เบอร์โทรศัพท์,auth
auth.address,ที่อยู่,auth
auth.role,บทบาท,auth
auth.customer,ลูกค้า,auth
auth.restaurant,ร้านอาหาร,auth
auth.not_logged_in,ไม่ได้เข้าสู่ระบบ,auth
auth.please_login,กรุณาเข้าสู่ระบบ,auth
auth.user_id,รหัสผู้ใช้,auth
auth.token,โทเค็น,auth 
auth.confirm_logout,คุณต้องการออกจากระบบหรือไม่?,auth
auth.terms,ข้อกำหนดและเงื่อนไข,auth
auth.privacy,นโยบายความเป็นส่วนตัว,auth
auth.and,และ,auth
auth.sign_up_with_google,ลงทะเบียนด้วย Google,auth
,,
# Validation,,
validation.required,ฟิลด์นี้จำเป็น,validation
validation.email_invalid,อีเมลไม่ถูกต้อง,validation
validation.password_mismatch,รหัสผ่านไม่ตรงกัน,validation
validation.password_length,รหัสผ่านต้องมีอย่างน้อย 8 ตัวอักษร,validation
validation.invalid_credentials,ข้อมูลเข้าสู่ระบบไม่ถูกต้อง,validation
,,
# Restaurant,,
restaurant.name,ชื่อร้านอาหาร,restaurant
restaurant.description,คำอธิบาย,restaurant
restaurant.address,ที่อยู่,restaurant
restaurant.phone,เบอร์โทรศัพท์,restaurant
restaurant.opening_hours,เวลาเปิดทำการ,restaurant
restaurant.categories,หมวดหมู่,restaurant
restaurant.menu,เมนู,restaurant
restaurant.reviews,รีวิว,restaurant
restaurant.rating,คะแนน,restaurant
restaurant.status,สถานะ,restaurant
restaurant.create,สร้างร้านอาหาร,restaurant
restaurant.edit,แก้ไขร้านอาหาร,restaurant
restaurant.delete,ลบร้านอาหาร,restaurant
restaurant.orders,คำสั่งซื้อของร้านอาหาร,restaurant 
,,
# Product,,
product.name,ชื่อสินค้า,product
product.description,คำอธิบาย,product
product.price,ราคา,product
product.category,หมวดหมู่,product
product.image,รูปภาพ,product
product.quantity,จำนวน,product
product.availability,มีอยู่,product
product.create,สร้างสินค้า,product
product.edit,แก้ไขสินค้า,product
product.delete,ลบสินค้า,product
,,
# Order,,
order.number,หมายเลขคำสั่งซื้อ,order
order.status,สถานะคำสั่งซื้อ,order
order.total,ยอดรวม,order
order.items,รายการสินค้า,order
order.date,วันที่สั่งซื้อ,order
order.delivery_address,ที่อยู่จัดส่ง,order
order.payment_method,วิธีการชำระเงิน,order
order.status.pending,รอดำเนินการ,order
order.status.pending_desc,ได้รับคำสั่งซื้อแล้ว,order
order.status.confirmed,ยืนยันแล้ว,order
order.status.paid,ชำระเงินแล้ว,order
order.status.paid_desc,การชำระเงินสำเร็จ,order
order.status.preparing,กำลังเตรียมอาหาร,order
order.status.preparing_desc,ร้านอาหารกำลังเตรียมอาหาร,order
order.status.ready,พร้อมจัดส่ง,order
order.status.ready_for_pickup,พร้อมรับสินค้า,order
order.status.ready_for_pickup_desc,อาหารพร้อมให้รับแล้ว,order
order.status.delivering,กำลังจัดส่ง,order
order.status.delivering_desc,คนขับกำลังจัดส่ง,order
order.status.delivered,จัดส่งแล้ว,order
order.status.completed,เสร็จสมบูรณ์,order
order.status.completed_desc,จัดส่งเสร็จสมบูรณ์,order
order.status.cancelled,ยกเลิกแล้ว,order
order.status.cancelled_desc,คำสั่งซื้อนี้ถูกยกเลิก,order
order.update_status_failed,ไม่สามารถอัปเดตสถานะคำสั่งซื้อได้,order
order.unable_to_load_history,ไม่สามารถโหลดประวัติคำสั่งซื้อได้,order
order.order_number,คำสั่งซื้อ #{id},order
order.history,ประวัติคำสั่งซื้อ,order
order.estimated_time,เวลาโดยประมาณ:,order
order.minutes,นาที,order
order.tracking,ติดตามสถานะ,order
order.next_step,ขั้นตอนถัดไป:,order
order.completed_message,คำสั่งซื้อเสร็จสมบูรณ์! ขอบคุณที่ใช้บริการของเรา!,order
order.realtime_active,การอัพเดทแบบเรียลไทม์เปิดใช้งาน,order
order.realtime_inactive,การอัพเดทแบบเรียลไทม์ปิดใช้งาน,order
order.login_required_message,คุณต้องเข้าสู่ระบบเพื่อดูประวัติคำสั่งซื้อและรับการอัพเดทแบบเรียลไทม์ (ทุก 10 วินาที),order
order.from_multiple_restaurants,คำสั่งซื้อจาก {count} ร้านอาหาร,order
order.multi_restaurant_delivery,คำสั่งซื้อจากหลายร้านอาหาร - สินค้าจะถูกจัดส่งพร้อมกัน,order
order.items_count,รายการ,order
order.subtotal,ยอดรวมย่อย,order
order.delivery_fee,ค่าจัดส่ง,order
order.delivery_from_multiple,จัดส่งจาก {count} ร้านอาหาร,order
order.no_history,ไม่มีประวัติคำสั่งซื้อ,order
order.no_history_message,คุณยังไม่เคยสั่งอาหารหรือไม่มีคำสั่งซื้อในหมวดหมู่นี้,order
order.start_ordering,เริ่มสั่งอาหาร,order
order.choose_by_category,เลือกตามหมวดหมู่,order
order.status_updated,อัพเดทสถานะคำสั่งซื้อแล้ว!,order
order.status_change_notification,คำสั่งซื้อ #{orderId} เปลี่ยนเป็น "{status}",order
order.successful,สั่งซื้อสำเร็จ!,order
order.cleanup_expired_message,ลบคำสั่งซื้อที่หมดอายุแล้ว {count} รายการ,order
order.cleanup_not_found_message,ลบคำสั่งซื้อที่ไม่พบแล้ว {count} รายการ,order
order.completed_removed_message,คำสั่งซื้อเสร็จสิ้นแล้ว ถูกนำออกจากรายการ,order
order.order_id,รหัสคำสั่งซื้อ: {id},order
order.restaurant_count,จำนวนร้านอาหาร: {count},order
order.total_amount,ยอดรวม: {total},order
order.history_cleaned,ล้างประวัติแล้ว,order
,,
# Notification,,
notification.success,สำเร็จ,notification
notification.error,ข้อผิดพลาด,notification
notification.warning,คำเตือน,notification
notification.info,ข้อมูล,notification
,,
# Error Messages,,
error.unknown,เกิดข้อผิดพลาดที่ไม่ทราบสาเหตุ,error
error.invalid_data,ข้อมูลไม่ถูกต้อง,error
error.network,ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้ กรุณาตรวจสอบการเชื่อมต่ออินเทอร์เน็ต,error
error.bad_request,ข้อมูลคำขอไม่ถูกต้อง,error
error.unauthorized,ไม่มีสิทธิ์เข้าถึง กรุณาเข้าสู่ระบบอีกครั้ง,error
error.forbidden,คุณไม่มีสิทธิ์ดำเนินการนี้,error
error.not_found,ไม่พบข้อมูลที่ต้องการ,error
error.conflict,ข้อมูลนี้มีอยู่ในระบบแล้ว,error
error.server_error,เกิดข้อผิดพลาดภายในเซิร์ฟเวอร์,error
error.http_error,เกิดข้อผิดพลาด ({status}),error
,,
# Cart,,
cart.empty,ตะกร้าของคุณว่างเปล่า,cart
cart.add,เพิ่มลงตะกร้า,cart
cart.remove,นำออกจากตะกร้า,cart
cart.clear,ล้างตะกร้า,cart
cart.checkout,ชำระเงิน,cart
cart.total,ยอดรวม,cart
cart.items,สินค้าในตะกร้า,cart
cart.add_items,เพิ่มสินค้าลงตะกร้า,cart
cart.cart,ตะกร้า,cart
cart.order_from_multiple_restaurants,สั่งอาหารจากหลายร้าน,cart
cart.restaurants,ร้านอาหาร,cart
cart.you_are_ordering_food_from,คุณกำลังสั่งอาหารจาก,cart
cart.there_are_closed_restaurants_in_the_cart,มีร้านอาหารที่ปิดในตะกร้า,cart
cart.please_remove_the_items_from_the_closed_restaurants_before_ordering,กรุณานำสินค้าจากร้านอาหารที่ปิดออกก่อนสั่งซื้อ,cart
cart.clear_all,ล้างทั้งหมด,cart
cart.delivery_address,ที่อยู่จัดส่ง,cart
cart.special_instructions,คำแนะนำพิเศษ,cart
cart.enter_the_delivery_address_in_detail,"กรุณากรอกที่อยู่จัดส่งโดยละเอียด เช่น บ้านเลขที่ ถนน เขต จังหวัด รหัสไปรษณีย์",cart
cart.special_instructions_detail,"เช่น ไม่เผ็ด ไม่ใส่ผัก เพิ่มช้อน",cart
cart.payment_information,ข้อมูลการชำระเงิน,cart
cart.select_payment_method,เลือกวิธีการชำระเงิน,cart
cart.bank_transfer,โอนเงินผ่านธนาคาร,cart
cart.qr_payment,ชำระเงินผ่าน QR,cart
cart.bank_account_information,ข้อมูลบัญชีธนาคาร,cart
cart.bank,ธนาคาร,cart
cart.bank_account_number,เลขที่บัญชี,cart
cart.qr_code_for_payment,QR code สำหรับชำระเงิน,cart
cart.scan_qr_code_to_pay,สแกน QR code เพื่อชำระเงิน,cart
cart.proof_of_payment,หลักฐานการชำระเงิน,cart
cart.click_to_change_file,คลิกเพื่อเปลี่ยนไฟล์,cart
cart.click_to_attach_proof_of_payment,คลิกเพื่อแนบหลักฐานการชำระเงิน,cart
cart.supports_files_up_to_5mb,"รองรับไฟล์ jpg, png ขนาดไม่เกิน 5MB",cart
cart.note,หมายเหตุ,cart
cart.attach_proof,กรุณาแนบหลักฐานการชำระเงินหลังจากชำระเงินแล้ว,cart
cart.confirmed_after_check_the_payment,คำสั่งซื้อจะได้รับการยืนยันหลังจากที่เราตรวจสอบการชำระเงินแล้ว,cart
cart.order_summary,สรุปคำสั่งซื้อ,cart
cart.delivery_fee_is,และค่าจัดส่งคือ,cart
cart.delivery_fee,ค่าจัดส่ง,cart
cart.cannot_order_closed_restaurants,ไม่สามารถสั่งซื้อได้ (ร้านปิด),cart
cart.please_enter_the_delivery_address,กรุณากรอกที่อยู่จัดส่ง,cart
cart.processing,กำลังดำเนินการ....,cart
cart.please_attach_proof_of_payment,กรุณาแนบหลักฐานการชำระเงิน,cart
cart.order_from_restaurants,สั่งอาหารจากร้านอาหาร,cart
cart.back_to_choose_restaurant,กลับไปเลือกเมนู,cart
cart.start_ordering_from_favorite_restaurants,เริ่มสั่งอาหารจากร้านอาหารที่คุณชื่นชอบ,cart
cart.choose_restaurant,เลือกร้านอาหาร,cart
cart.restaurant,ร้านอาหาร,cart
cart.bank_account_name,ชื่อบัญชีธนาคาร,cart
cart.first_restaurant,ร้านอาหารแรก,cart
cart.additional_restaurant,ร้านอาหารเพิ่มเติม,cart
,,
# Profile,,
profile.personal_info,ข้อมูลส่วนตัว,profile
profile.update,อัพเดทโปรไฟล์,profile
profile.orders,คำสั่งซื้อของฉัน,profile
profile.favorites,รายการโปรดของฉัน,profile
profile.addresses,ที่อยู่ของฉัน,profile
profile.notifications,การแจ้งเตือนของฉัน,profile 
,,
# Error Messages,,
error.general,เกิดข้อผิดพลาดบางอย่าง,error
error.network,ข้อผิดพลาดเครือข่าย,error
error.unauthorized,ไม่มีสิทธิ์เข้าถึง,error
error.not_found,ไม่พบข้อมูล,error
error.server_error,ข้อผิดพลาดเซิร์ฟเวอร์,error
error.forbidden,ไม่อนุญาตให้เข้าถึง,error
,,
# Notifications,,
notification.new_order,คำสั่งซื้อใหม่,notification
notification.order_status,อัพเดทสถานะคำสั่งซื้อ,notification
notification.order_cancelled,ยกเลิกคำสั่งซื้อ,notification
notification.profile_updated,อัพเดทโปรไฟล์แล้ว,notification 
,,
# Dashboard,,
dashboard.overview,ภาพรวม,dashboard
dashboard.sales,ยอดขาย,dashboard
dashboard.orders,คำสั่งซื้อ,dashboard
dashboard.customers,ลูกค้า,dashboard
dashboard.popular_items,สินค้ายอดนิยม,dashboard
dashboard.recent_orders,คำสั่งซื้อล่าสุด,dashboard
dashboard.statistics,สถิติ,dashboard
dashboard.revenue_today,รายได้วันนี้,dashboard
dashboard.orders_today,ออเดอร์วันนี้,dashboard
dashboard.avg_order_value,มูลค่าออเดอร์เฉลี่ย,dashboard
dashboard.active_users,ผู้ใช้งานที่ใช้งานอยู่,dashboard
dashboard.new_users,ผู้ใช้ใหม่,dashboard
dashboard.pending_verifications,รอตรวจสอบ,dashboard
dashboard.refunds,การคืนเงิน,dashboard
dashboard.conversion_rate,อัตราการแปลง,dashboard
dashboard.traffic,ทราฟฟิก,dashboard
dashboard.system_health,สถานะระบบ,dashboard
dashboard.top_restaurants,ร้านอาหารยอดนิยม,dashboard
dashboard.top_categories,หมวดหมู่ยอดนิยม,dashboard
dashboard.no_data,ไม่มีข้อมูล,dashboard
dashboard.loading_metrics,กำลังโหลดสถิติ...,dashboard
dashboard.title_admin,แดชบอร์ดแอดมิน,dashboard
dashboard.subtitle_admin,ระบบจัดการแอดมิน - ข้อมูลภาพรวม,dashboard
dashboard.realtime_info,ข้อมูลประจำวันที่อัพเดทแบบเรียลไทม์,dashboard
dashboard.overview_subtitle,สถิติรวมทั้งหมดในระบบ,dashboard
dashboard.total_users,ผู้ใช้ทั้งหมด,dashboard
dashboard.active_orders,กำลังดำเนินการ,dashboard
dashboard.popular_items_subtitle,รายการเมนูที่ได้รับความนิยมสูงสุด,dashboard
dashboard.ordered_times,สั่งแล้ว {count} ครั้ง,dashboard
dashboard.quick_actions,การจัดการด่วน,dashboard
dashboard.quick_actions_subtitle,เข้าถึงฟังก์ชันการจัดการหลักได้อย่างรวดเร็ว,dashboard
,,
# Admin,,
admin.users,จัดการผู้ใช้,admin
admin.restaurants,จัดการร้านอาหาร,admin
admin.categories,จัดการหมวดหมู่,admin
admin.orders,จัดการคำสั่งซื้อ,admin
admin.settings,ตั้งค่าระบบ,admin
admin.notifications,การแจ้งเตือนระบบ,admin 
admin.search_placeholder,ค้นหาผู้ใช้ ร้านอาหาร...,admin
admin.orders_search_placeholder,ค้นหาคำสั่งซื้อ, ลูกค้า, ร้านอาหาร...,admin
admin.add_user,เพิ่มผู้ใช้ใหม่,admin
admin.users_total,รวม {count} ผู้ใช้งาน,admin
admin.search_users,ค้นหาผู้ใช้งาน,admin
admin.users_search_placeholder,ค้นหาชื่อผู้ใช้, อีเมล, เบอร์โทร...,admin
admin.clear_search,ล้างการค้นหา,admin
admin.role.customer,ลูกค้า,admin
admin.role.general_restaurant,ร้านทั่วไป,admin
admin.role.special_restaurant,ร้านพิเศษ,admin
admin.role.admin,แอดมิน,admin
admin.table.user,ผู้ใช้งาน,admin
admin.table.contact,ข้อมูลติดต่อ,admin
admin.no_restaurant,ไม่มีร้าน,admin
admin.users_empty_title,ไม่พบผู้ใช้งาน,admin
admin.users_empty_search_message,ลองปรับเงื่อนไขการค้นหาหรือตัวกรอง,admin
admin.users_empty_message,ยังไม่มีผู้ใช้งานในระบบ,admin
admin.add_first_user,เพิ่มผู้ใช้คนแรก,admin
admin.user_deleted_success,ลบผู้ใช้ "{username}" เรียบร้อยแล้ว,admin
admin.user_role_updated,อัปเดตบทบาทผู้ใช้เป็น {role} เรียบร้อยแล้ว,admin
admin.update_role_failed,ไม่สามารถอัปเดตบทบาทผู้ใช้ได้,admin
admin.delete_user_failed,ไม่สามารถลบผู้ใช้ได้,admin
admin.user_modal.view_title,ข้อมูลผู้ใช้งาน,admin
admin.user_modal.create_title,เพิ่มผู้ใช้ใหม่,admin
admin.user_modal.edit_title,แก้ไขข้อมูลผู้ใช้งาน,admin
admin.user_modal.password_optional,เว้นว่างถ้าไม่เปลี่ยน,admin
admin.user_modal.enter_password,ใส่รหัสผ่าน,admin
admin.user_modal.leave_blank_password,เว้นว่างถ้าไม่เปลี่ยนรหัสผ่าน,admin
admin.enable_account,เปิดใช้งานบัญชี,admin
admin.user_extra_info,ข้อมูลเพิ่มเติม,admin
admin.last_login,เข้าสู่ระบบล่าสุด,admin
admin.never_logged_in,ไม่เคยเข้าสู่ระบบ,admin
admin.confirm_delete_user,คุณแน่ใจหรือไม่ที่จะลบผู้ใช้ "{username}"?\n\nการดำเนินการนี้ไม่สามารถกู้คืนได้,admin
admin.date_range,ช่วงวันที่,admin
admin.today,วันนี้,admin
admin.yesterday,เมื่อวาน,admin
admin.last_7_days,7 วันที่ผ่านมา,admin
admin.last_30_days,30 วันที่ผ่านมา,admin
admin.export_csv,ส่งออก CSV,admin
admin.export_excel,ส่งออก Excel,admin
admin.refresh,รีเฟรช,admin
admin.all_statuses,ทุกสถานะ,admin
admin.table.id,ไอดี,admin
admin.table.name,ชื่อ,admin
admin.table.email,อีเมล,admin
admin.table.role,บทบาท,admin
admin.table.status,สถานะ,admin
admin.table.created_at,วันที่สร้าง,admin
admin.table.actions,การดำเนินการ,admin
admin.action.view,ดู,admin
admin.action.edit,แก้ไข,admin
admin.action.delete,ลบ,admin
admin.action.enable,เปิดใช้งาน,admin
admin.action.disable,ปิดใช้งาน,admin
admin.status.active,ใช้งาน,admin
admin.status.inactive,ไม่ใช้งาน,admin
admin.status.disabled,ถูกปิดใช้งาน,admin
admin.confirm_delete_title,ลบรายการนี้หรือไม่?,admin
admin.confirm_delete_desc,การกระทำนี้ไม่สามารถย้อนกลับได้,admin
admin.confirm_delete_product,คุณแน่ใจหรือไม่ที่จะลบสินค้า "{name}" ?,admin
admin.error.load_failed,ไม่สามารถโหลดข้อมูลแอดมินได้,admin
admin.success.saved,บันทึกสำเร็จ,admin
admin.users_desc,จัดการบัญชีและสิทธิ์,admin
admin.restaurants_desc,อนุมัติและจัดการร้าน,admin
admin.orders_desc,ตรวจสอบและจัดการ,admin
admin.categories_desc,จัดหมวดหมู่อาหาร,admin
admin.users_paragraph,จัดการบัญชีผู้ใช้ ร้านอาหาร และสิทธิ์การเข้าถึงในระบบ,admin
admin.restaurants_paragraph,อนุมัติร้านอาหารใหม่ และจัดการสถานะร้านอาหารในระบบ,admin
admin.orders_paragraph,ตรวจสอบและจัดการคำสั่งซื้อทั้งหมดในระบบแบบเรียลไทม์,admin
admin.categories_paragraph,เพิ่ม แก้ไข และจัดการหมวดหมู่อาหารในระบบ,admin
admin.create_restaurant,สร้างร้านอาหาร,admin
admin.create_user,สร้าผู้ใช้,admin
admin.restaurants_total,รวม {count} ร้านอาหาร,admin
admin.search_restaurants,ค้นหาร้านอาหาร,admin
admin.restaurants_search_placeholder,ค้นหาชื่อร้าน, คำอธิบาย, ที่อยู่...,admin
admin.type,ประเภท,admin
admin.table.restaurant,ร้านอาหาร,admin
admin.table.owner,เจ้าของ,admin
admin.table.type,ประเภท,admin
admin.table.score,คะแนน,admin
admin.action.upload_image,อัปโหลดรูป,admin
admin.action.manage_products,จัดการสินค้า,admin
admin.action.make_special,ทำ Special,admin
admin.action.unset_special,ยก Special,admin
admin.restaurant_status_updated,อัปเดตสถานะร้านอาหารเป็น {status} เรียบร้อยแล้ว,admin
admin.update_status_failed,ไม่สามารถอัปเดตสถานะได้,admin
admin.special_status_updated,อัปเดตสถานะร้านพิเศษเรียบร้อยแล้ว,admin
admin.update_special_failed,ไม่สามารถอัปเดตสถานะพิเศษได้,admin
admin.special_status_set_success,เพิ่มสถานะร้านพิเศษเรียบร้อยแล้ว,admin
admin.special_status_unset_success,ลบสถานะร้านพิเศษเรียบร้อยแล้ว,admin
admin.restaurant_deleted_success,ลบร้านอาหาร "{name}" เรียบร้อยแล้ว,admin
admin.delete_restaurant_failed,ไม่สามารถลบร้านอาหารได้,admin
admin.confirm_delete_restaurant,คุณแน่ใจหรือไม่ที่จะลบร้านอาหาร "{name}"?\n\nระบบจะลบข้อมูลที่เกี่ยวข้องทั้งหมดและไม่สามารถกู้คืนได้,admin
admin.restaurants_empty_title,ไม่พบร้านอาหาร,admin
admin.restaurants_empty_search_message,ลองปรับเงื่อนไขการค้นหาหรือตัวกรอง,admin
admin.restaurants_empty_message,ยังไม่มีร้านอาหารในระบบ,admin
admin.add_first_restaurant,สร้างร้านแรก,admin
admin.bank_info,ข้อมูลธนาคาร,admin
admin.average_rating,คะแนนเฉลี่ย,admin
admin.total_reviews_label,จำนวนรีวิว,admin
admin.updated_at,อัปเดตล่าสุด,admin
admin.uploading,กำลังอัปโหลด...,admin
admin.creating,กำลังสร้าง...,admin
admin.saving,กำลังบันทึก...,admin
admin.summary,สรุปยอดเงิน,admin
admin.customer_info,ข้อมูลลูกค้า,admin
admin.payment_info,ข้อมูลการชำระเงิน,admin
admin.no_payment_info,ยังไม่มีข้อมูลการชำระเงิน,admin
admin.please_select_new_status,กรุณาเลือกสถานะใหม่,admin
admin.update_status_title,อัปเดทสถานะ,admin
admin.select_new_status,เลือกสถานะใหม่,admin
admin.showing_of_total,แสดง {showing} จาก {total} รายการ,admin
admin.payment_pending,รอดำเนินการ,admin
admin.payment_pending_short,รอชำระ,admin
admin.payment_failed,ไม่สำเร็จ,admin
admin.customer,ลูกค้า,admin
admin.change_status,เปลี่ยนสถานะ,admin
admin.orders_empty_search_message,ลองปรับเปลี่ยนคำค้นหาหรือตัวกรอง,admin
